"","n","alpha","maxdepth_factor_screen","maxdepth_factor_select","MSE","Fuzzy","model"
"324",300,0.2,0.04,0.7,31.142992887739,FALSE,"Longtree"
"325",300,0.2,0.08,0.3,32.2046789738765,TRUE,"Longtree"
"326",300,0.2,0.08,0.3,35.2944637243929,FALSE,"Longtree"
"327",300,0.2,0.08,0.5,18.333540584863,TRUE,"Longtree"
"328",300,0.2,0.08,0.5,31.142992887739,FALSE,"Longtree"
"329",300,0.2,0.08,0.7,18.333540584863,TRUE,"Longtree"
"330",300,0.2,0.08,0.7,30.079545305707,FALSE,"Longtree"
"331",300,0.2,0.2,0.3,32.2046789738765,TRUE,"Longtree"
"332",300,0.2,0.2,0.3,35.2944637243929,FALSE,"Longtree"
"333",300,0.2,0.2,0.5,18.333540584863,TRUE,"Longtree"
"334",300,0.2,0.2,0.5,31.142992887739,FALSE,"Longtree"
"335",300,0.2,0.2,0.7,18.333540584863,TRUE,"Longtree"
"336",300,0.2,0.2,0.7,30.079545305707,FALSE,"Longtree"
"337",300,0.3,0.02,0.3,404.457757629842,TRUE,"Longtree"
"338",300,0.3,0.02,0.3,129.073199725351,FALSE,"Longtree"
"339",300,0.3,0.02,0.5,59.9602089930167,TRUE,"Longtree"
"340",300,0.3,0.02,0.5,129.073199725351,FALSE,"Longtree"
"341",300,0.3,0.02,0.7,35.9442143255344,TRUE,"Longtree"
"342",300,0.3,0.02,0.7,35.9442143255344,FALSE,"Longtree"
"343",300,0.3,0.04,0.3,31.7699323614425,TRUE,"Longtree"
"344",300,0.3,0.04,0.3,35.2944637243929,FALSE,"Longtree"
"345",300,0.3,0.04,0.5,16.7342650201316,TRUE,"Longtree"
"346",300,0.3,0.04,0.5,31.142992887739,FALSE,"Longtree"
"347",300,0.3,0.04,0.7,16.7342650201316,TRUE,"Longtree"
"348",300,0.3,0.04,0.7,30.3738309827691,FALSE,"Longtree"
"349",300,0.3,0.08,0.3,32.2046789738765,TRUE,"Longtree"
"350",300,0.3,0.08,0.3,31.2724143306153,FALSE,"Longtree"
"351",300,0.3,0.08,0.5,18.333540584863,TRUE,"Longtree"
"352",300,0.3,0.08,0.5,23.0250947610154,FALSE,"Longtree"
"353",300,0.3,0.08,0.7,18.333540584863,TRUE,"Longtree"
"354",300,0.3,0.08,0.7,22.7793533958034,FALSE,"Longtree"
"355",300,0.3,0.2,0.3,32.2046789738765,TRUE,"Longtree"
"356",300,0.3,0.2,0.3,31.2724143306153,FALSE,"Longtree"
"357",300,0.3,0.2,0.5,18.333540584863,TRUE,"Longtree"
"358",300,0.3,0.2,0.5,23.0250947610154,FALSE,"Longtree"
"359",300,0.3,0.2,0.7,18.333540584863,TRUE,"Longtree"
"360",300,0.3,0.2,0.7,22.7793533958034,FALSE,"Longtree"
"361",400,0.01,0.02,0.3,385.070129205753,TRUE,"Longtree"
"362",400,0.01,0.02,0.3,128.845866373379,FALSE,"Longtree"
"363",400,0.01,0.02,0.5,385.070129205753,TRUE,"Longtree"
"364",400,0.01,0.02,0.5,128.845866373379,FALSE,"Longtree"
"365",400,0.01,0.02,0.7,66.0375272893249,TRUE,"Longtree"
"366",400,0.01,0.02,0.7,38.8058976209042,FALSE,"Longtree"
"367",400,0.01,0.04,0.3,385.070129205753,TRUE,"Longtree"
"368",400,0.01,0.04,0.3,128.845866373379,FALSE,"Longtree"
"369",400,0.01,0.04,0.5,66.0375272893249,TRUE,"Longtree"
"370",400,0.01,0.04,0.5,128.845866373379,FALSE,"Longtree"
"371",400,0.01,0.04,0.7,31.2416443941323,TRUE,"Longtree"
"372",400,0.01,0.04,0.7,19.9638981462399,FALSE,"Longtree"
"373",400,0.01,0.08,0.3,385.070129205753,TRUE,"Longtree"
"374",400,0.01,0.08,0.3,128.845866373379,FALSE,"Longtree"
"375",400,0.01,0.08,0.5,66.0375272893249,TRUE,"Longtree"
"376",400,0.01,0.08,0.5,128.845866373379,FALSE,"Longtree"
